Singles (2003),"""Looking For Love"""," ""Single Life"""," ""Twentysomething Life""",,,,,,
Hot Fuzz (2007),"""Bumbling Cops"""," ""Fish Out of Water""",,,,,,,
Bureau of Missing Persons (1933),"""Bumbling Cops"""," ""Cons and Scams""",,,,,,,
The Pink Panther (1963),"""Bumbling Cops""",,,,,,,,
Beverly Hills Cop II (1987),"""Fish Out of Water"""," ""Bumbling Cops""",,,,,,,
Without a Clue (1988),"""Assumed Identities"""," ""Bumbling Cops""",,,,,,,
The Delicate Delinquent (1956),"""Kids in Trouble"""," ""Bumbling Cops""",,,,,,,
Armed and Dangerous (1986),"""Bumbling Cops"""," ""Nothing Goes Right""",,,,,,,
The Naked Gun 2 1/2: The Smell of Fear (1991),"""Bumbling Cops"""," ""Kidnapping"""," ""Unlikely Heroes""",,,,,,
The Pink Panther 2 (2009),"""Bumbling Cops"""," ""Jewel Theft"""," ""Priceless Artifacts and Prized Objects"""," ""Star Detectives""",,,,,
Paul Blart: Mall Cop 2 (2015),"""Bumbling Cops"""," ""Heroic Mission"""," ""Kidnapping""",,,,,,
My Cousin Vinny (1992),"""Fish Out of Water"""," ""Culture Clash"""," ""Bumbling Cops"""," ""Miscarriage of Justice""",,,,,
Hombre (1967),"""Social Injustice"""," ""Hostage Situations"""," ""White People Among Indians""",,,,,,
Buffalo Bill (1944),"""Bohemian Life"""," ""Military Life"""," ""White People Among Indians"""," ""Interracial/Cross-Cultural Romance""",,,,,
Soldier Blue (1970),"""White People Among Indians""",,,,,,,,
Arrowhead (1953),"""Race Relations"""," ""White People Among Indians""",,,,,,,
The Paleface (1922),"""White People Among Indians""",,,,,,,,
Saskatchewan (1954),"""Opposites Attract"""," ""White People Among Indians""",,,,,,,
Jeremiah Johnson (1972),"""Lone Wolves"""," ""Survival in the Wilderness"""," ""White People Among Indians"""," ""Out For Revenge""",,,,,
Rose of Cimarron (1952),"""Race Relations"""," ""White People Among Indians""",,,,,,,
The Comancheros (1961),"""Cons and Scams"""," ""Sheriffs and Outlaws"""," ""White People Among Indians""",,,,,,
The Big Trail (1930),"""Out For Revenge"""," ""Taming the West"""," ""White People Among Indians""",,,,,,
Flaming Star (1960),"""Culture Clash"""," ""Race Relations"""," ""White People Among Indians""",,,,,,
Little Big Man (1970),"""White People Among Indians"""," ""Culture Clash"""," ""Social Injustice""",,,,,,
The Big Sky (1952),"""White People Among Indians""",,,,,,,,
The Last of the Mohicans (1936),"""White People Among Indians""",,,,,,,,
The Last Seduction (1994),"""Femmes Fatales"""," ""Dangerous Attraction"""," ""Assumed Identities"""," ""Treacherous Spouses"""," ""Cons and Scams""",,,,
To Die For (1995),"""Femmes Fatales"""," ""Teachers and Students"""," ""Dangerous Attraction"""," ""Treacherous Spouses""",,,,,
Suspicion (1941),"""Treacherous Spouses"""," ""Woman In Jeopardy""",,,,,,,
The Square (2008),"""Dangerous Attraction"""," ""Femmes Fatales"""," ""Infidelity"""," ""Treacherous Spouses""",,,,,
Leave Her to Heaven (1946),"""Femmes Fatales"""," ""Miscarriage of Justice"""," ""Treacherous Spouses""",,,,,,
Edward II (1992),"""Crowned Heads"""," ""Treacherous Spouses""",,,,,,,
Ossessione (1943),"""Infidelity"""," ""Treacherous Spouses""",,,,,,,
Up in Smoke (1978),"""Bumbling Cops"""," ""Drug Trade"""," ""Unlikely Criminals""",,,,,,
U-Turn (1997),"""Nothing Goes Right"""," ""Femmes Fatales"""," ""Small-Town Life"""," ""Treacherous Spouses""",,,,,
Taxi (1998),"""Bumbling Cops"""," ""Bank Robbery""",,,,,,,
Othello (1965),"""Dangerous Friends""",,,,,,,,
Score (1973),"""Infidelity""",,,,,,,,
Lila and Eve (2015),"""Death of a Child"""," ""Families in Crisis"""," ""Intersecting Lives"""," ""Mothers and Daughters"""," ""Mothers and Sons"""," ""Parenthood"""," ""Redemption""",,
Mother's Day (2016),"""Family Gatherings"""," ""Intersecting Lives"""," ""Mothers and Daughters"""," ""Mothers and Sons"""," ""Parenthood""",,,,
Entrapment (1999),"""Perfect Crime"""," ""Art Theft"""," ""Bank Robbery"""," ""Cons and Scams"""," ""One Last Heist""",,,,
The Thin Man Goes Home (1944),"""Art Theft"""," ""Unlikely Criminals"""," ""Bumbling Cops""",,,,,,
The Light Touch (1951),"""Art Theft"""," ""Perfect Crime""",,,,,,,
In the Frame (1989),"""Art Theft"""," ""Star Detectives""",,,,,,,
Gambit (1966),"""Art Theft""",,,,,,,,
Arsene Lupin (1932),"""Unlikely Criminals"""," ""Art Theft""",,,,,,,
Trance (2013),"""Amnesia"""," ""Art Theft"""," ""Crime Gone Awry""",,,,,,
Gambit (2012),"""Art Theft"""," ""Cons and Scams""",,,,,,,
Back in the USSR (1991),"""Americans Abroad"""," ""Art Theft"""," ""Criminal's Revenge""",,,,,,
Adventure in Manhattan (1936),"""Art Theft"""," ""Assumed Identities"""," ""Cons and Scams"""," ""Jewel Theft""",,,,,
The Monuments Men (2014),"""Art Theft""",,,,,,,,
Stark Raving Mad (2002),"""Art Theft"""," ""Perfect Crime"""," ""Unlikely Criminals""",,,,,,
Stolen (2005),"""Art Theft""",,,,,,,,
Two If by Sea (1996),"""One Last Heist"""," ""Art Theft"""," ""Class Differences""",,,,,,
Carried Away (1998),"""Art Theft""",,,,,,,,
The Cove (2009),"""Scandals and Cover-Ups"""," ""Obsessive Quests"""," ""Redemption""",,,,,,
Lady Chatterley (2006),"""Infidelity"""," ""Scandals and Cover-Ups""",,,,,,,
Ordet (1955),"""Fathers and Sons"""," ""Religious Zealotry""",,,,,,,
The Ruling Class (1972),"""Assumed Identities"""," ""Culture Clash"""," ""Fighting the System"""," ""Religious Zealotry""",,,,,
Agora (2009),"""Political Unrest"""," ""Religious Zealotry"""," ""Unrequited Love""",,,,,,
Of Human Hearts (1938),"""Fathers and Sons"""," ""Mothers and Sons"""," ""Religious Zealotry""",,,,,,
Osama (2003),"""Social Injustice"""," ""Religious Zealotry"""," ""Assumed Identities"""," ""Totalitarian States""",,,,,
The Red-Headed Stranger (1986),"""Crisis of Conscience"""," ""Infidelity"""," ""Out For Revenge"""," ""Religious Zealotry""",,,,,
Pi (1998),"""Existential Crisis"""," ""Obsessive Quests"""," ""Religious Zealotry""",,,,,,
L'Age d'Or (1930),"""Fighting the System"""," ""Religious Zealotry""",,,,,,,
The Rape of Europa (2007),"""Art Theft""",,,,,,,,
The Crime Doctor's Gamble (1947),"""Art Theft"""," ""Murder Investigations""",,,,,,,
The Hunt (2012),"""Scandals and Cover-Ups"""," ""Small-Town Life""",,,,,,,
Autumn Sonata (1978),"""Mothers and Daughters"""," ""Haunted By the Past""",,,,,,,
Mr. Deeds Goes to Town (1936),"""Social Injustice"""," ""Members of the Press""",,,,,,,
The Krays (1990),"""Mothers and Sons"""," ""Sibling Relationships"""," ""Twins and Lookalikes""",,,,,,
The Dark Mirror (1946),"""Murder Investigations"""," ""Twins and Lookalikes""",,,,,,,
My 20th Century (1989),"""Twins and Lookalikes"""," ""Political Unrest""",,,,,,,
Sisters (1973),"""Twins and Lookalikes"""," ""Sibling Relationships"""," ""Haunted By the Past"""," ""Wolf in Sheep's Clothing"""," ""Psychic Abilities""",,,,
I Was Monty's Double (1958),"""Twins and Lookalikes""",,,,,,,,
Brothers of the Head (2006),"""Musician's Life"""," ""Rags To Riches"""," ""Twins and Lookalikes""",,,,,,
Bad Company (2002),"""Fish Out of Water"""," ""Culture Clash"""," ""Heroic Mission"""," ""Race Against Time"""," ""Twins and Lookalikes""",,,,
Used Cars (1980),"""Obsessive Quests"""," ""Sibling Relationships"""," ""Twins and Lookalikes""",,,,,,
The 6th Day (2000),"""Twins and Lookalikes"""," ""Technology Run Amok"""," ""Flight of the Innocent""",,,,,,
The Prisoner of Zenda (1952),"""Assumed Identities"""," ""Crowned Heads"""," ""Twins and Lookalikes""",,,,,,
Po Di Sangui (1996),"""Mistaken Identities"""," ""Obsessive Quests"""," ""Twins and Lookalikes""",,,,,,
A Zed & Two Noughts (1985),"""Twins and Lookalikes"""," ""Experiments Gone Awry"""," ""Death of a Partner"""," ""Suicide""",,,,,
The Double Life of Veronique (1991),"""Twins and Lookalikes""",,,,,,,,
Come and Take it Day (2001),"""Treasure Hunts""",,,,,,,,
Tom Sawyer & Huckleberry Finn (2014),"""Obsessive Quests"""," ""Treasure Hunts"""," ""Unlikely Friendships""",,,,,,
Le million (1931),"""Nothing Goes Right"""," ""Treasure Hunts""",,,,,,,
Bear Island (1980),"""Treasure Hunts""",,,,,,,,
"Kumiko, the Treasure Hunter (2014)","""Treasure Hunts""",,,,,,,,
Tarzan and His Mate (1934),"""Daring Rescues"""," ""Treasure Hunts""",,,,,,,
Shock Treatment (1964),"""Cons and Scams"""," ""Doctors and Patients"""," ""Mental Illness"""," ""Trapped or Confined"""," ""Treasure Hunts""",,,,
Rachel River (1987),"""Small-Town Life"""," ""Treasure Hunts""",,,,,,,
Ali Baba and the Forty Thieves (1943),"""Daring Rescues"""," ""Heroic Mission"""," ""Woman In Jeopardy"""," ""Treasure Hunts""",,,,,
King of California (2007),"""Fathers and Daughters"""," ""Treasure Hunts"""," ""Obsessive Quests"""," ""Mental Illness""",,,,,
Requiem for a Heavyweight (1962),"""All Washed Up"""," ""Boxers"""," ""Down on Their Luck"""," ""Opposites Attract"""," ""Underdogs""",,,,
The Champ (1931),"""Boxers"""," ""Fathers and Sons""",,,,,,,
Tyson (2008),"""Boxers""",,,,,,,,
Body and Soul (1947),"""Boxers""",,,,,,,,
The Set-Up (1949),"""All Washed Up"""," ""Boxers"""," ""Cons and Scams""",,,,,,
The Fight (2003),"""Boxers"""," ""Race Relations""",,,,,,,
Maladie d'Amour (1987),"""Love Triangles"""," ""Age Disparity Romance"""," ""Finding the Cure""",,,,,,
Dr. Akagi (1998),"""Doctors and Patients"""," ""Finding the Cure""",,,,,,,
Dr. Ehrlich's Magic Bullet (1940),"""Doctors and Patients"""," ""Fighting the System"""," ""Finding the Cure""",,,,,,
Baby Girl Scott (1987),"""Finding the Cure""",,,,,,,,
"Pink Ribbons, Inc. (2011)","""Finding the Cure""",,,,,,,,
Extreme Measures (1996),"""Doctors and Patients"""," ""Finding the Cure"""," ""Work Ethics""",,,,,,
"Life, Animated (2016)","""Finding the Cure"""," ""Life in the Arts"""," ""Mental Illness""",,,,,,
The Story of Louis Pasteur (1936),"""Finding the Cure""",,,,,,,,
Buud Yam (1997),"""Finding the Cure"""," ""Sibling Relationships""",,,,,,,
"Fast, Cheap & Out of Control (1997)","""Finding the Cure"""," ""Obsessive Quests""",,,,,,,
Decoding Annie Parker (2013),"""Doctors and Patients"""," ""Finding the Cure""",,,,,,,
Arrowsmith (1931),"""Crisis of Conscience"""," ""Doctors and Patients"""," ""Finding the Cure"""," ""Infidelity""",,,,,
The Risk (1961),"""Finding the Cure"""," ""Work Ethics""",,,,,,,
Mermaids (1990),"""Eccentric Families"""," ""Mothers and Daughters"""," ""First Love"""," ""Coping With Puberty k"""," ""Generation Gap""",,,,
Short Skin (2014),"""Body Image and Self-Esteem"""," ""Coping With Puberty k"""," ""Dysfunctional Families"""," ""First Love"""," ""Looking For Love"""," ""Misfits and Outsiders"""," ""Sexual Awakening""",,
5 Girls (2001),"""Coping With Puberty k"""," ""High School Life""",,,,,,,
The Year My Voice Broke (1987),"""Coping With Puberty k"""," ""First Love"""," ""Unrequited Love""",,,,,,
The Falling (2014),"""Boarding School Life"""," ""Coping With Puberty k"""," ""Haunted By the Past"""," ""Innocence Lost"""," ""Plagues and Epidemics"""," ""Teachers and Students"""," ""Teen Angst""",,
Number One (1976),"""Coping With Puberty k""",,,,,,,,
Gregory's Girl (1980),"""Coping With Puberty k"""," ""Unrequited Love"""," ""High School Life""",,,,,,
Agent Cody Banks (2003),"""Double Life"""," ""Heroic Mission"""," ""Coping With Puberty k""",,,,,,
Playing House (2003),"""Boarding School Life"""," ""Getting Along k"""," ""Coping With Puberty k"""," ""Class Differences"""," ""Cultural Diversity k""",,,,
Harriet the Spy (1996),"""Faltering Friendships"""," ""Coping With Puberty k"""," ""Mischievous Children""",,,,,,
Puberty Blues (1981),"""Coping With Puberty k"""," ""Innocence Lost"""," ""Kids in Trouble""",,,,,,
Wide Awake (1998),"""Authority Figures k"""," ""Coping With Puberty k"""," ""Crisis of Faith"""," ""Death in the Family"""," ""Innocence Lost""",,,,
My American Cousin (1985),"""Coping With Puberty k"""," ""First Love"""," ""Innocence Lost"""," ""Sexual Awakening"""," ""Unrequited Love""",,,,
Banjo Hackett (1976),"""Orphans"""," ""Bounty Hunters"""," ""Ranchers""",,,,,,
Sabata (1969),"""Lone Wolves"""," ""Bounty Hunters"""," ""Double Life""",,,,,,
Going on 13 (2008),"""Coping With Puberty k""",,,,,,,,
